tile_ID,geometry,position
0,"POLYGON ((-77.1197949 38.90356999163647, -77.1197949 38.917550066233616, -77.10182859431761 38.917550066233616, -77.10182859431761 38.90356999163647, -77.1197949 38.90356999163647))","[0, 7]"
1,"POLYGON ((-77.1197949 38.917550066233616, -77.1197949 38.93152738722498, -77.10182859431761 38.93152738722498, -77.10182859431761 38.917550066233616, -77.1197949 38.917550066233616))","[0, 8]"
2,"POLYGON ((-77.1197949 38.93152738722498, -77.1197949 38.94550195432127, -77.10182859431761 38.94550195432127, -77.10182859431761 38.93152738722498, -77.1197949 38.93152738722498))","[0, 9]"
3,"POLYGON ((-77.1197949 38.94550195432127, -77.1197949 38.959473767233916, -77.10182859431761 38.959473767233916, -77.10182859431761 38.94550195432127, -77.1197949 38.94550195432127))","[0, 10]"
4,"POLYGON ((-77.10182859431761 38.88958716372352, -77.10182859431761 38.90356999163647, -77.08386228863523 38.90356999163647, -77.08386228863523 38.88958716372352, -77.10182859431761 38.88958716372352))","[1, 6]"
5,"POLYGON ((-77.10182859431761 38.90356999163647, -77.10182859431761 38.917550066233616, -77.08386228863523 38.917550066233616, -77.08386228863523 38.90356999163647, -77.10182859431761 38.90356999163647))","[1, 7]"
6,"POLYGON ((-77.10182859431761 38.917550066233616, -77.10182859431761 38.93152738722498, -77.08386228863523 38.93152738722498, -77.08386228863523 38.917550066233616, -77.10182859431761 38.917550066233616))","[1, 8]"
7,"POLYGON ((-77.10182859431761 38.93152738722498, -77.10182859431761 38.94550195432127, -77.08386228863523 38.94550195432127, -77.08386228863523 38.93152738722498, -77.10182859431761 38.93152738722498))","[1, 9]"
8,"POLYGON ((-77.10182859431761 38.94550195432127, -77.10182859431761 38.959473767233916, -77.08386228863523 38.959473767233916, -77.08386228863523 38.94550195432127, -77.10182859431761 38.94550195432127))","[1, 10]"
9,"POLYGON ((-77.10182859431761 38.959473767233916, -77.10182859431761 38.97344282567505, -77.08386228863523 38.97344282567505, -77.08386228863523 38.959473767233916, -77.10182859431761 38.959473767233916))","[1, 11]"
