tile_ID,geometry,position
0,"POLYGON ((-74.01934319999998 40.69978019999999, -74.01934319999998 40.706590310936384, -74.0103600471588 40.706590310936384, -74.0103600471588 40.69978019999999, -74.01934319999998 40.69978019999999))","[0, 0]"
1,"POLYGON ((-74.01934319999998 40.706590310936384, -74.01934319999998 40.71339972555202, -74.0103600471588 40.71339972555202, -74.0103600471588 40.706590310936384, -74.01934319999998 40.706590310936384))","[0, 1]"
2,"POLYGON ((-74.01934319999998 40.71339972555202, -74.01934319999998 40.72020844382193, -74.0103600471588 40.72020844382193, -74.0103600471588 40.71339972555202, -74.01934319999998 40.71339972555202))","[0, 2]"
3,"POLYGON ((-74.01934319999998 40.72020844382193, -74.01934319999998 40.72701646572116, -74.0103600471588 40.72701646572116, -74.0103600471588 40.72020844382193, -74.01934319999998 40.72020844382193))","[0, 3]"
4,"POLYGON ((-74.01934319999998 40.72701646572116, -74.01934319999998 40.733823791224836, -74.0103600471588 40.733823791224836, -74.0103600471588 40.72701646572116, -74.01934319999998 40.72701646572116))","[0, 4]"
5,"POLYGON ((-74.01934319999998 40.733823791224836, -74.01934319999998 40.74063042030813, -74.0103600471588 40.74063042030813, -74.0103600471588 40.733823791224836, -74.01934319999998 40.733823791224836))","[0, 5]"
6,"POLYGON ((-74.01934319999998 40.74063042030813, -74.01934319999998 40.74743635294619, -74.0103600471588 40.74743635294619, -74.0103600471588 40.74063042030813, -74.01934319999998 40.74063042030813))","[0, 6]"
7,"POLYGON ((-74.01934319999998 40.74743635294619, -74.01934319999998 40.754241589114294, -74.0103600471588 40.754241589114294, -74.0103600471588 40.74743635294619, -74.01934319999998 40.74743635294619))","[0, 7]"
8,"POLYGON ((-74.0103600471588 40.69978019999999, -74.0103600471588 40.706590310936384, -74.0013768943176 40.706590310936384, -74.0013768943176 40.69978019999999, -74.0103600471588 40.69978019999999))","[1, 0]"
9,"POLYGON ((-74.0103600471588 40.706590310936384, -74.0103600471588 40.71339972555202, -74.0013768943176 40.71339972555202, -74.0013768943176 40.706590310936384, -74.0103600471588 40.706590310936384))","[1, 1]"
10,"POLYGON ((-74.0103600471588 40.71339972555202, -74.0103600471588 40.72020844382193, -74.0013768943176 40.72020844382193, -74.0013768943176 40.71339972555202, -74.0103600471588 40.71339972555202))","[1, 2]"
11,"POLYGON ((-74.0103600471588 40.72020844382193, -74.0103600471588 40.72701646572116, -74.0013768943176 40.72701646572116, -74.0013768943176 40.72020844382193, -74.0103600471588 40.72020844382193))","[1, 3]"
12,"POLYGON ((-74.0103600471588 40.72701646572116, -74.0103600471588 40.733823791224836, -74.0013768943176 40.733823791224836, -74.0013768943176 40.72701646572116, -74.0103600471588 40.72701646572116))","[1, 4]"
13,"POLYGON ((-74.0103600471588 40.733823791224836, -74.0103600471588 40.74063042030813, -74.0013768943176 40.74063042030813, -74.0013768943176 40.733823791224836, -74.0103600471588 40.733823791224836))","[1, 5]"
14,"POLYGON ((-74.0103600471588 40.74063042030813, -74.0103600471588 40.74743635294619, -74.0013768943176 40.74743635294619, -74.0013768943176 40.74063042030813, -74.0103600471588 40.74063042030813))","[1, 6]"
15,"POLYGON ((-74.0103600471588 40.74743635294619, -74.0103600471588 40.754241589114294, -74.0013768943176 40.754241589114294, -74.0013768943176 40.74743635294619, -74.0103600471588 40.74743635294619))","[1, 7]"
16,"POLYGON ((-74.0103600471588 40.754241589114294, -74.0103600471588 40.76104612878771, -74.0013768943176 40.76104612878771, -74.0013768943176 40.754241589114294, -74.0103600471588 40.754241589114294))","[1, 8]"
17,"POLYGON ((-74.0103600471588 40.76104612878771, -74.0103600471588 40.76784997194176, -74.0013768943176 40.76784997194176, -74.0013768943176 40.76104612878771, -74.0103600471588 40.76104612878771))","[1, 9]"
18,"POLYGON ((-74.0013768943176 40.69978019999999, -74.0013768943176 40.706590310936384, -73.9923937414764 40.706590310936384, -73.9923937414764 40.69978019999999, -74.0013768943176 40.69978019999999))","[2, 0]"
19,"POLYGON ((-74.0013768943176 40.706590310936384, -74.0013768943176 40.71339972555202, -73.9923937414764 40.71339972555202, -73.9923937414764 40.706590310936384, -74.0013768943176 40.706590310936384))","[2, 1]"
20,"POLYGON ((-74.0013768943176 40.71339972555202, -74.0013768943176 40.72020844382193, -73.9923937414764 40.72020844382193, -73.9923937414764 40.71339972555202, -74.0013768943176 40.71339972555202))","[2, 2]"
21,"POLYGON ((-74.0013768943176 40.72020844382193, -74.0013768943176 40.72701646572116, -73.9923937414764 40.72701646572116, -73.9923937414764 40.72020844382193, -74.0013768943176 40.72020844382193))","[2, 3]"
22,"POLYGON ((-74.0013768943176 40.72701646572116, -74.0013768943176 40.733823791224836, -73.9923937414764 40.733823791224836, -73.9923937414764 40.72701646572116, -74.0013768943176 40.72701646572116))","[2, 4]"
23,"POLYGON ((-74.0013768943176 40.733823791224836, -74.0013768943176 40.74063042030813, -73.9923937414764 40.74063042030813, -73.9923937414764 40.733823791224836, -74.0013768943176 40.733823791224836))","[2, 5]"
24,"POLYGON ((-74.0013768943176 40.74063042030813, -74.0013768943176 40.74743635294619, -73.9923937414764 40.74743635294619, -73.9923937414764 40.74063042030813, -74.0013768943176 40.74063042030813))","[2, 6]"
