tile_ID,geometry,position
0,"POLYGON ((-74.25884299999998 40.476578, -74.25884299999998 40.527807643727705, -74.19146935369103 40.527807643727705, -74.19146935369103 40.476578, -74.25884299999998 40.476578))","[0, 0]"
1,"POLYGON ((-74.25884299999998 40.527807643727705, -74.25884299999998 40.578998157095846, -74.19146935369103 40.578998157095846, -74.19146935369103 40.527807643727705, -74.25884299999998 40.527807643727705))","[0, 1]"
2,"POLYGON ((-74.25884299999998 40.578998157095846, -74.25884299999998 40.63014952916199, -74.19146935369103 40.63014952916199, -74.19146935369103 40.578998157095846, -74.25884299999998 40.578998157095846))","[0, 2]"
3,"POLYGON ((-74.25884299999998 40.63014952916199, -74.25884299999998 40.68126174911684, -74.19146935369103 40.68126174911684, -74.19146935369103 40.63014952916199, -74.25884299999998 40.63014952916199))","[0, 3]"
4,"POLYGON ((-74.19146935369103 40.476578, -74.19146935369103 40.527807643727705, -74.12409570738207 40.527807643727705, -74.12409570738207 40.476578, -74.19146935369103 40.476578))","[1, 0]"
5,"POLYGON ((-74.19146935369103 40.527807643727705, -74.19146935369103 40.578998157095846, -74.12409570738207 40.578998157095846, -74.12409570738207 40.527807643727705, -74.19146935369103 40.527807643727705))","[1, 1]"
6,"POLYGON ((-74.19146935369103 40.578998157095846, -74.19146935369103 40.63014952916199, -74.12409570738207 40.63014952916199, -74.12409570738207 40.578998157095846, -74.19146935369103 40.578998157095846))","[1, 2]"
7,"POLYGON ((-74.19146935369103 40.63014952916199, -74.19146935369103 40.68126174911684, -74.12409570738207 40.68126174911684, -74.12409570738207 40.63014952916199, -74.19146935369103 40.63014952916199))","[1, 3]"
8,"POLYGON ((-74.12409570738207 40.476578, -74.12409570738207 40.527807643727705, -74.0567220610731 40.527807643727705, -74.0567220610731 40.476578, -74.12409570738207 40.476578))","[2, 0]"
9,"POLYGON ((-74.12409570738207 40.527807643727705, -74.12409570738207 40.578998157095846, -74.0567220610731 40.578998157095846, -74.0567220610731 40.527807643727705, -74.12409570738207 40.527807643727705))","[2, 1]"
10,"POLYGON ((-74.12409570738207 40.578998157095846, -74.12409570738207 40.63014952916199, -74.0567220610731 40.63014952916199, -74.0567220610731 40.578998157095846, -74.12409570738207 40.578998157095846))","[2, 2]"
11,"POLYGON ((-74.12409570738207 40.63014952916199, -74.12409570738207 40.68126174911684, -74.0567220610731 40.68126174911684, -74.0567220610731 40.63014952916199, -74.12409570738207 40.63014952916199))","[2, 3]"
12,"POLYGON ((-74.0567220610731 40.476578, -74.0567220610731 40.527807643727705, -73.98934841476414 40.527807643727705, -73.98934841476414 40.476578, -74.0567220610731 40.476578))","[3, 0]"
13,"POLYGON ((-74.0567220610731 40.527807643727705, -74.0567220610731 40.578998157095846, -73.98934841476414 40.578998157095846, -73.98934841476414 40.527807643727705, -74.0567220610731 40.527807643727705))","[3, 1]"
14,"POLYGON ((-74.0567220610731 40.578998157095846, -74.0567220610731 40.63014952916199, -73.98934841476414 40.63014952916199, -73.98934841476414 40.578998157095846, -74.0567220610731 40.578998157095846))","[3, 2]"
15,"POLYGON ((-74.0567220610731 40.63014952916199, -74.0567220610731 40.68126174911684, -73.98934841476414 40.68126174911684, -73.98934841476414 40.63014952916199, -74.0567220610731 40.63014952916199))","[3, 3]"
16,"POLYGON ((-74.0567220610731 40.68126174911684, -74.0567220610731 40.73233480628412, -73.98934841476414 40.73233480628412, -73.98934841476414 40.68126174911684, -74.0567220610731 40.68126174911684))","[3, 4]"
17,"POLYGON ((-74.0567220610731 40.73233480628412, -74.0567220610731 40.7833686901202, -73.98934841476414 40.7833686901202, -73.98934841476414 40.73233480628412, -74.0567220610731 40.73233480628412))","[3, 5]"
18,"POLYGON ((-74.0567220610731 40.7833686901202, -74.0567220610731 40.834363390213916, -73.98934841476414 40.834363390213916, -73.98934841476414 40.7833686901202, -74.0567220610731 40.7833686901202))","[3, 6]"
19,"POLYGON ((-73.98934841476414 40.476578, -73.98934841476414 40.527807643727705, -73.92197476845517 40.527807643727705, -73.92197476845517 40.476578, -73.98934841476414 40.476578))","[4, 0]"
20,"POLYGON ((-73.98934841476414 40.527807643727705, -73.98934841476414 40.578998157095846, -73.92197476845517 40.578998157095846, -73.92197476845517 40.527807643727705, -73.98934841476414 40.527807643727705))","[4, 1]"
